epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69181,1.02148,2.1909,1.57996,0.31561,0.4,0.24388,0.1184,2.44837,2.61206,3.23249,0.00015,0.00015,0.07015
2,2.70563,1.00828,1.24054,1.5113,0.04673,0.66667,0.04528,0.00948,2.53806,4.04739,3.27315,0.000306217,0.000306217,0.0369729
3,3.71411,1.28078,1.10738,1.72406,0.04673,0.66667,0.04528,0.00948,2.53806,4.04739,3.27315,0.000451433,0.000451433,0.00378477
4,4.75363,2.1703,1.61386,2.22894,0.17699,0.4161,0.14935,0.02079,4.05562,2.94447,5.67569,0.0004505,0.0004505,0.0004505
5,5.76754,1.95446,1.63839,2.06215,0.49393,0.6,0.56334,0.24429,2.28401,4.27476,2.99287,0.000434,0.000434,0.000434
6,6.81157,1.19395,1.24198,1.62839,0.49393,0.6,0.56334,0.24429,2.28401,4.27476,2.99287,0.0004175,0.0004175,0.0004175
7,7.85036,1.12029,1.15222,1.64884,0.72388,0.93333,0.91624,0.62324,1.42676,5.55051,2.41496,0.000401,0.000401,0.000401
8,8.87807,0.95202,0.95346,1.42449,0.84482,0.86667,0.86162,0.59512,2.14207,2.61082,2.62226,0.0003845,0.0003845,0.0003845
9,9.89756,0.89353,0.98542,1.35515,0.84482,0.86667,0.86162,0.59512,2.14207,2.61082,2.62226,0.000368,0.000368,0.000368
10,10.902,0.91263,0.91928,1.3446,0.79518,0.8,0.84475,0.56076,1.81895,1.9891,2.32208,0.0003515,0.0003515,0.0003515
11,11.9087,0.88482,0.86151,1.40731,0.79518,0.8,0.84475,0.56076,1.81895,1.9891,2.32208,0.000335,0.000335,0.000335
12,12.9242,0.80563,0.73149,1.32752,0.71249,0.82697,0.77327,0.54018,1.74575,0.96877,2.27371,0.0003185,0.0003185,0.0003185
13,13.924,0.81571,0.77765,1.30865,0.85283,0.77381,0.81285,0.54351,1.69232,1.10491,2.32167,0.000302,0.000302,0.000302
14,14.9403,0.82557,0.77091,1.34798,0.85283,0.77381,0.81285,0.54351,1.69232,1.10491,2.32167,0.0002855,0.0002855,0.0002855
15,15.9645,0.69497,0.73231,1.24571,0.89966,0.66667,0.78601,0.56068,1.42815,1.07419,1.9496,0.000269,0.000269,0.000269
16,16.9608,0.82,0.74175,1.36346,0.89853,0.6,0.78875,0.53386,1.61436,1.3736,2.08316,0.0002525,0.0002525,0.0002525
17,17.9885,0.74705,0.6672,1.17952,0.89853,0.6,0.78875,0.53386,1.61436,1.3736,2.08316,0.000236,0.000236,0.000236
