image,label,count
1P9A1048.JPG,bottle,2
1P9A1048.JPG,cardboard box,2
1P9A1048.JPG,computer keyboard,2
1P9A1048.JPG,computer monitor,2
1P9A1048.JPG,computer mouse,1
1P9A1048.JPG,desk,4
1P9A1048.JPG,desktop computer tower,1
1P9A1048.JPG,electric kettle,1
1P9A1048.JPG,insulated water bottle,1
1P9A1048.JPG,office chair,4
1P9A1048.JPG,paper towel roll,1
1P9A1048.JPG,shopping bag,2
1P9A1048.JPG,smartphone,1
1P9A1049.JPG,bottle,17
1P9A1049.JPG,bowl,7
1P9A1049.JPG,cooking pot,2
1P9A1049.JPG,cutting board,1
1P9A1049.JPG,electric kettle,1
1P9A1049.JPG,faucet,1
1P9A1049.JPG,frying pan,1
1P9A1049.JPG,microwave oven,1
1P9A1049.JPG,oven,1
1P9A1049.JPG,paper towel roll,1
1P9A1049.JPG,sink,2
1P9A1049.JPG,stove,1
