class_id,english_prompt
0,computer monitor
1,computer keyboard
2,computer mouse
3,desktop computer tower
4,headphones
5,digital piano
6,office chair
7,desk
8,smartphone
9,tissue box
10,humidifier
11,insulated water bottle
12,bottle
13,tripod
14,shopping bag
15,cardboard box
16,weighing scale
17,piano bench
18,rice cooker
19,electric kettle
20,dishwasher
21,microwave oven
22,oven
23,stove
24,cooking pot
25,frying pan
26,cutting board
27,bamboo steamer
28,bowl
29,mug
30,paper towel roll
31,sink
32,faucet
